code,name,population,area,type,level,lat,lon
31350,Weinzierl am Walde,1306,44.5665,Gemeinde,6,48.42,15.43
31351,Weißenkirchen in der Wachau,1450,23.2994,Gemeinde,6,48.38,15.47
31355,Schönberg am Kamp,1786,53.2698,Gemeinde,6,48.52,15.7
31356,Droß,824,10.2973,Gemeinde,6,48.47,15.57
31401,Annaberg,662,63.5004,Gemeinde,6,47.87,15.38
31402,Eschenau,1272,24.723,Gemeinde,6,48.03,15.57
31403,Hainfeld,3798,44.7376,Gemeinde,6,48.03,15.77
31404,Hohenberg,1570,56.6401,Gemeinde,6,47.91,15.62
31405,Kaumberg,1023,42.9916,Gemeinde,6,48.02,15.88
31406,Kleinzell,858,93.0932,Gemeinde,6,47.98,15.74
31407,Lilienfeld,3061,53.9671,Gemeinde,6,47.92,15.6
31408,Mitterbach am Erlaufsee,608,67.3163,Gemeinde,6,47.83,15.3
31409,Ramsau,911,54.6985,Gemeinde,6,48.0,15.8
31410,Rohrbach an der Gölsen,1560,14.7753,Gemeinde,6,48.06,15.74
31411,Sankt Aegyd am Neuwalde,2229,184.6094,Gemeinde,6,47.85,15.55
31412,Sankt Veit an der Gölsen,3928,78.14,Gemeinde,6,48.04,15.67
31413,Traisen,3696,6.8395,Gemeinde,6,48.04,15.61
31414,Türnitz,1995,145.5223,Gemeinde,6,47.93,15.49
31502,Artstetten-Pöbring,1142,27.3057,Gemeinde,6,48.25,15.22
31503,Bergland,1772,33.9287,Gemeinde,6,48.16,15.18
31504,Bischofstetten,1167,18.9973,Gemeinde,6,48.12,15.47
31505,Blindenmarkt,2411,17.0527,Gemeinde,6,48.13,14.99
31506,Dorfstetten,627,33.1226,Gemeinde,6,48.33,14.98
31507,Dunkelsteinerwald,2308,54.1821,Gemeinde,6,48.3,15.48
31508,Erlauf,1127,9.6747,Gemeinde,6,48.18,15.18
31509,Golling an der Erlauf,1615,2.7186,Gemeinde,6,48.2,15.18
31511,Hofamt Priel,1653,39.6262,Gemeinde,6,48.18,15.0
31513,Hürm,1714,36.0749,Gemeinde,6,48.16,15.41
31514,Kilb,2527,45.1618,Gemeinde,6,48.1,15.41
31515,Kirnberg an der Mank,993,17.6709,Gemeinde,6,48.07,15.32
31516,Klein-Pöchlarn,994,6.8726,Gemeinde,6,48.22,15.22
31517,Krummnußbaum,1399,10.0669,Gemeinde,6,48.21,15.16
31519,Leiben,1348,12.5286,Gemeinde,6,48.23,15.27
31520,Loosdorf,3608,11.9029,Gemeinde,6,48.2,15.4
31521,Mank,2952,33.4329,Gemeinde,6,48.11,15.34
31522,Marbach an der Donau,1675,10.6642,Gemeinde,6,48.21,15.15
31523,Maria Taferl,863,12.1805,Gemeinde,6,48.22,15.15
31524,Melk,5249,25.7137,Gemeinde,6,48.17,15.27
31525,Münichreith-Laimbach,1718,38.8158,Gemeinde,6,48.2,15.27
